tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
359035,27340,8756,191031656,work,mandatory,12656.0,32515,7.0,7.0,WALK_LOC,0,,,37,no_subtours,1out_3in
359076,27360,8757,191031657,work,mandatory,485.0,8805,6.0,6.0,WALK_LR,0,,,19,no_subtours,0out_2in
359158,27390,8759,191031683,work,mandatory,27050.0,12343,9.0,9.0,SHARED3FREE,0,,,70,no_subtours,0out_2in
359199,27410,8760,191031719,work,mandatory,810.0,21653,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_2in
359240,27430,8761,191031719,work,mandatory,810.0,25077,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_3in
359486,27440,8767,191031894,work,mandatory,34534.0,34099,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,3out_0in
359978,27450,8779,191032035,work,mandatory,21615.0,12898,8.0,8.0,BIKE,0,,,54,no_subtours,0out_0in
360142,27460,8783,191032089,work,mandatory,21008.0,28850,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_0in
360716,27500,8797,191032210,work,mandatory,21483.0,25627,6.0,6.0,WALK,0,,,19,no_subtours,0out_1in
360757,27530,8798,191032210,work,mandatory,21483.0,25627,14.0,14.0,WALK,0,,,135,no_subtours,0out_0in
360880,27570,8801,191032252,work,mandatory,23358.0,24321,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
