household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
504,873,175000,3,1,1,2,0_tours
505,21930,250000,1,1,1,1,0_tours
506,18015,62500,2,1,1,2,0_tours
507,19358,250000,2,1,3,2,0_tours
508,20407,125000,4,1,2,1,0_tours
509,15988,62500,1,1,0,1,0_tours
510,55121,125000,3,1,3,3,0_tours
511,56209,125000,1,1,1,1,0_tours
512,21822,87500,2,1,1,1,0_tours
513,20615,17500,2,1,2,2,0_tours
514,18631,5000,1,1,1,1,0_tours
515,29353,-1,3,1,2,2,0_tours
516,5569,62500,2,1,1,2,0_tours
517,801,87500,2,1,2,0,0_tours
518,1648,125000,1,1,0,1,0_tours
519,1648,5000,2,1,0,2,0_tours
520,1648,175000,2,1,1,2,0_tours
521,6811,87500,1,1,1,0,0_tours
522,27200,250000,2,1,2,1,0_tours
523,29951,225000,3,1,1,2,0_tours
524,21935,87500,1,1,1,1,0_tours
525,33077,62500,1,1,1,1,0_tours
526,746,250000,2,1,1,2,0_tours
527,746,125000,1,1,1,1,0_tours
528,746,125000,1,1,0,1,0_tours
529,15942,125000,1,1,1,1,0_tours
530,23489,87500,1,1,1,1,0_tours
531,2901,125000,1,1,0,1,0_tours
532,25327,87500,1,1,0,1,0_tours
533,25327,62500,1,1,1,1,0_tours
534,25327,42500,2,1,1,1,0_tours
535,25327,30000,1,1,0,0,0_tours
536,37878,42500,5,1,3,3,0_tours
537,37376,62500,3,1,3,2,0_tours
538,46592,5000,3,1,1,0,0_tours
539,45227,-1,2,1,4,0,0_tours
540,50147,30000,2,1,1,1,0_tours
541,50480,30000,3,1,2,1,0_tours
542,49864,62500,1,1,1,1,0_tours
543,43265,175000,2,1,3,1,0_tours
544,52633,62500,3,1,2,3,0_tours
545,41594,175000,3,1,2,2,0_tours
546,36775,250000,2,1,6,0,0_tours
547,38872,17500,3,1,2,1,0_tours
548,48854,175000,4,1,5,2,0_tours
549,51692,62500,1,1,1,1,0_tours
550,46835,42500,1,1,1,0,0_tours
551,49760,17500,1,1,1,0,0_tours
552,41440,87500,1,1,1,1,0_tours
553,33487,175000,2,1,1,0,0_tours
554,36572,62500,2,1,1,2,0_tours
555,39041,42500,1,1,0,1,0_tours
556,41439,62500,2,1,2,2,0_tours
557,38105,62500,2,1,2,0,0_tours
558,41109,125000,1,1,1,0,0_tours
559,42729,62500,5,1,2,2,0_tours
560,46579,30000,4,1,1,1,0_tours
561,45222,125000,1,1,1,1,0_tours
562,43895,42500,2,1,1,2,0_tours
563,54666,-1,1,1,0,1,0_tours
564,54061,125000,2,1,3,2,0_tours
565,41405,62500,4,1,2,0,0_tours
566,42011,42500,1,1,1,1,0_tours
567,42908,125000,1,1,1,1,0_tours
568,46533,42500,2,1,2,2,0_tours
569,37797,125000,2,1,5,1,0_tours
570,40071,125000,2,1,2,2,0_tours
571,37112,87500,2,1,1,2,0_tours
572,38105,42500,1,1,1,1,0_tours
573,38806,-1,2,1,2,0,0_tours
574,46592,62500,1,1,1,0,0_tours
575,45138,5000,1,1,1,0,0_tours
576,45915,17500,1,1,1,0,0_tours
577,49864,62500,2,1,2,1,0_tours
578,45751,62500,2,1,4,1,0_tours
579,40384,125000,2,1,2,1,0_tours
580,41165,30000,2,1,1,2,0_tours
581,54908,87500,2,1,1,0,0_tours
582,45132,87500,2,1,1,2,0_tours
583,52937,175000,2,1,2,2,0_tours
584,47511,42500,2,1,2,0,0_tours
585,46978,125000,2,1,3,0,0_tours
586,37714,87500,2,1,2,2,0_tours
587,38269,30000,2,1,4,0,0_tours
588,45814,125000,2,1,1,1,0_tours
589,46349,-1,3,1,2,2,0_tours
590,43795,5000,2,1,1,0,0_tours
591,46020,-1,2,1,4,2,0_tours
592,42781,225000,6,1,3,3,1_Visit
593,42165,87500,5,1,3,1,0_tours
594,51653,-1,2,1,1,0,0_tours
595,40319,87500,3,1,1,2,0_tours
596,35882,17500,2,1,1,1,0_tours
597,38229,250000,2,1,2,0,0_tours
598,39021,-1,2,1,2,0,0_tours
599,38692,62500,5,1,3,1,0_tours
600,36597,62500,2,1,2,2,0_tours
601,45959,30000,1,1,1,1,0_tours
602,50381,87500,5,1,2,3,0_tours
603,44012,87500,2,1,4,1,0_tours
604,51044,62500,1,1,2,0,0_tours
605,47112,175000,4,1,2,2,0_tours
606,36753,30000,1,1,1,1,0_tours
607,40969,30000,1,1,1,0,0_tours
608,48306,-1,1,1,2,0,0_tours
609,37567,175000,4,1,2,1,0_tours
610,52806,62500,2,1,3,2,0_tours
611,53685,125000,2,1,2,0,0_tours
612,52725,17500,2,1,1,2,0_tours
613,44591,87500,1,1,1,1,0_tours
614,45903,125000,2,1,1,2,0_tours
615,44784,125000,4,1,3,1,0_tours
616,46414,125000,2,1,2,2,0_tours
617,49734,125000,2,1,3,2,0_tours
618,35998,62500,3,1,1,2,0_tours
619,38954,87500,2,1,1,2,0_tours
620,46862,62500,8,1,3,3,0_tours
621,52474,30000,1,1,1,1,0_tours
622,51463,125000,2,1,2,1,0_tours
623,47946,17500,1,1,1,1,0_tours
624,39853,62500,1,1,3,0,0_tours
625,38121,30000,1,1,1,1,0_tours
626,37440,17500,1,1,2,0,0_tours
627,45074,125000,2,1,2,0,0_tours
628,50280,125000,1,1,1,1,0_tours
629,41160,17500,1,1,1,1,0_tours
630,52253,87500,1,1,1,1,0_tours
631,48990,17500,1,1,1,1,0_tours
632,49617,62500,3,1,1,1,0_tours
633,39256,175000,2,1,3,0,0_tours
634,38638,87500,2,1,3,2,0_tours
635,37797,125000,3,1,1,1,0_tours
636,54235,250000,2,1,2,0,0_tours
637,52056,62500,1,1,1,0,0_tours
638,41139,42500,2,1,2,1,0_tours
639,36224,-1,5,1,2,1,0_tours
640,51564,42500,2,1,1,1,0_tours
641,49864,125000,4,1,4,3,0_tours
642,48545,225000,5,1,3,1,0_tours
643,51287,62500,2,1,2,0,0_tours
644,53228,175000,2,1,4,1,0_tours
645,39221,175000,1,1,2,0,0_tours
646,39124,87500,1,1,1,1,0_tours
647,45992,42500,3,1,1,1,0_tours
648,42933,87500,4,1,4,0,0_tours
649,54066,-1,2,1,2,0,0_tours
650,40281,225000,2,1,1,0,0_tours
651,49678,17500,1,1,0,0,0_tours
652,45031,87500,1,1,1,1,0_tours
653,47842,87500,1,1,1,1,0_tours
654,47842,17500,1,1,0,1,0_tours
655,52267,17500,2,1,2,0,0_tours
656,47842,-1,1,1,1,0,0_tours
657,47844,62500,3,1,1,1,0_tours
658,50387,-1,1,1,1,0,0_tours
