person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
10500,8063,30,1,1,1,3,1,-1.0,16736.0,0,H,,0,0,0,0,0,0,0
13694,8062,60,1,2,1,3,1,-1.0,3634.0,0,M,work1,0,0,0,0,0,0,0
13907,8061,30,1,2,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
12980,8060,40,1,1,2,3,2,-1.0,21191.0,0,H,,0,0,0,0,0,0,0
13755,8059,50,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13549,8058,30,1,1,1,3,1,-1.0,3894.0,0,H,,0,0,0,0,0,0,0
12754,8057,40,1,2,1,3,1,-1.0,6294.0,0,M,work1,0,0,0,0,0,0,0
14478,8056,30,1,1,1,3,1,-1.0,30989.0,0,H,,0,0,0,0,0,0,0
13310,8055,30,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13948,8054,50,1,2,1,3,1,-1.0,16204.0,0,M,work1,0,0,0,0,0,0,0
13949,8054,50,2,1,1,3,1,-1.0,4572.0,0,M,work1,0,1,0,0,0,0,16
13950,8054,8,3,2,3,1,7,30685.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13951,8054,8,4,2,3,1,7,30685.0,-1.0,0,M,school1,0,0,0,0,0,0,0
11864,8053,60,1,2,1,3,1,-1.0,24158.0,0,H,,0,0,0,0,0,0,0
11757,8052,50,1,1,3,3,4,-1.0,-1.0,0,N,,0,0,1,1,0,0,9
10851,8051,40,1,1,1,3,1,-1.0,9647.0,0,M,work1,0,0,0,1,0,0,1
10664,8050,60,1,1,1,3,1,-1.0,4159.0,0,M,work1,0,0,0,0,0,0,0
11889,8049,80,1,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
11890,8049,80,2,1,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
12895,8048,40,1,2,1,3,1,-1.0,33413.0,0,H,,0,0,0,0,0,0,0
13616,8047,30,1,2,1,3,1,-1.0,32326.0,0,H,,0,0,0,0,0,0,0
13617,8047,30,2,1,2,3,2,-1.0,32456.0,0,H,,0,0,0,0,0,0,0
14991,8046,40,1,2,1,3,1,-1.0,57998.0,0,M,work1,0,0,0,0,0,0,0
12666,8045,40,1,1,1,3,1,-1.0,5056.0,0,M,work1,0,0,0,0,0,0,0
12667,8045,40,2,2,1,3,1,-1.0,10538.0,0,M,work1,0,0,0,0,0,0,0
13257,8044,60,1,2,1,3,1,-1.0,14423.0,0,H,,0,0,0,0,0,0,0
11300,8043,40,1,2,1,3,1,-1.0,34273.0,0,M,work1,0,0,0,0,0,0,0
14399,8041,40,1,2,2,3,2,-1.0,34644.0,0,M,work1,0,0,0,0,0,0,0
14400,8041,40,2,1,1,3,1,-1.0,22591.0,0,H,,0,0,0,0,0,0,0
14401,8041,8,3,2,3,1,7,24504.0,-1.0,0,M,school1,0,0,0,0,0,0,0
14402,8041,8,4,1,3,1,7,24504.0,-1.0,0,M,school1,0,0,0,0,0,0,0
14785,8040,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
14786,8040,80,2,1,3,3,5,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
12363,8039,30,1,2,1,3,1,-1.0,28999.0,0,H,,0,0,0,0,0,0,0
12364,8039,40,2,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12628,8038,50,1,1,1,3,1,-1.0,3367.0,0,H,,0,0,0,0,0,0,0
12629,8038,60,2,2,2,3,2,-1.0,23978.0,0,H,,0,0,0,0,0,0,0
11742,8037,30,1,2,3,3,4,-1.0,-1.0,0,N,,1,0,2,0,0,0,40
11743,8037,40,2,1,1,3,1,-1.0,16608.0,0,H,,0,0,0,0,0,0,0
11744,8037,17,3,2,3,1,6,9982.0,-1.0,0,M,school1,0,0,0,0,0,1,2
11745,8037,14,4,2,3,1,7,24632.0,-1.0,0,H,,0,0,0,0,0,0,0
11746,8037,14,5,2,3,1,7,24632.0,-1.0,0,M,school1,0,0,0,0,0,0,0
11747,8037,8,6,2,3,1,7,23356.0,-1.0,0,H,,0,0,0,0,0,0,0
13361,8036,50,1,1,2,3,2,-1.0,12926.0,0,N,,0,0,3,0,0,0,8
13429,8035,40,1,1,1,3,1,-1.0,4160.0,0,M,work1,0,0,0,0,0,1,2
14588,8034,40,1,2,1,3,1,-1.0,35606.0,0,H,,0,0,0,0,0,0,0
